date_id,date,day,month,year,quarter,weekday
0,2013-01-01,20130101,201301,2013,2013Q1,Tuesday
1,2013-01-07,20130107,201301,2013,2013Q1,Monday
2,2013-01-19,20130119,201301,2013,2013Q1,Saturday
3,2013-01-23,20130123,201301,2013,2013Q1,Wednesday
4,2013-01-25,20130125,201301,2013,2013Q1,Friday
5,2013-01-26,20130126,201301,2013,2013Q1,Saturday
6,2013-02-02,20130202,201302,2013,2013Q1,Saturday
7,2013-02-03,20130203,201302,2013,2013Q1,Sunday
8,2013-02-09,20130209,201302,2013,2013Q1,Saturday
9,2013-02-11,20130211,201302,2013,2013Q1,Monday
10,2013-02-19,20130219,201302,2013,2013Q1,Tuesday
11,2013-03-03,20130303,201303,2013,2013Q1,Sunday
12,2013-03-04,20130304,201303,2013,2013Q1,Monday
13,2013-03-07,20130307,201303,2013,2013Q1,Thursday
14,2013-03-10,20130310,201303,2013,2013Q1,Sunday
15,2013-03-11,20130311,201303,2013,2013Q1,Monday
16,2013-03-13,20130313,201303,2013,2013Q1,Wednesday
17,2013-03-21,20130321,201303,2013,2013Q1,Thursday
18,2013-04-18,20130418,201304,2013,2013Q2,Thursday
19,2013-04-21,20130421,201304,2013,2013Q2,Sunday
20,2013-04-22,20130422,201304,2013,2013Q2,Monday
21,2013-04-24,20130424,201304,2013,2013Q2,Wednesday
22,2013-04-25,20130425,201304,2013,2013Q2,Thursday
23,2013-04-28,20130428,201304,2013,2013Q2,Sunday
24,2013-05-02,20130502,201305,2013,2013Q2,Thursday
25,2013-05-04,20130504,201305,2013,2013Q2,Saturday
26,2013-05-11,20130511,201305,2013,2013Q2,Saturday
27,2013-05-12,20130512,201305,2013,2013Q2,Sunday
28,2013-05-13,20130513,201305,2013,2013Q2,Monday
29,2013-05-14,20130514,201305,2013,2013Q2,Tuesday
30,2013-05-16,20130516,201305,2013,2013Q2,Thursday
31,2013-05-18,20130518,201305,2013,2013Q2,Saturday
32,2013-05-19,20130519,201305,2013,2013Q2,Sunday
33,2013-05-23,20130523,201305,2013,2013Q2,Thursday
34,2013-05-25,20130525,201305,2013,2013Q2,Saturday
35,2013-06-07,20130607,201306,2013,2013Q2,Friday
36,2013-06-10,20130610,201306,2013,2013Q2,Monday
37,2013-06-15,20130615,201306,2013,2013Q2,Saturday
38,2013-06-21,20130621,201306,2013,2013Q2,Friday
39,2013-06-23,20130623,201306,2013,2013Q2,Sunday
40,2013-06-27,20130627,201306,2013,2013Q2,Thursday
41,2013-07-01,20130701,201307,2013,2013Q3,Monday
42,2013-07-02,20130702,201307,2013,2013Q3,Tuesday
43,2013-07-07,20130707,201307,2013,2013Q3,Sunday
44,2013-07-12,20130712,201307,2013,2013Q3,Friday
45,2013-07-13,20130713,201307,2013,2013Q3,Saturday
46,2013-07-14,20130714,201307,2013,2013Q3,Sunday
47,2013-07-20,20130720,201307,2013,2013Q3,Saturday
48,2013-07-26,20130726,201307,2013,2013Q3,Friday
49,2013-07-30,20130730,201307,2013,2013Q3,Tuesday
50,2013-08-02,20130802,201308,2013,2013Q3,Friday
51,2013-08-04,20130804,201308,2013,2013Q3,Sunday
52,2013-08-05,20130805,201308,2013,2013Q3,Monday
53,2013-08-06,20130806,201308,2013,2013Q3,Tuesday
54,2013-08-09,20130809,201308,2013,2013Q3,Friday
55,2013-08-14,20130814,201308,2013,2013Q3,Wednesday
56,2013-08-17,20130817,201308,2013,2013Q3,Saturday
57,2013-08-19,20130819,201308,2013,2013Q3,Monday
58,2013-08-20,20130820,201308,2013,2013Q3,Tuesday
59,2013-08-23,20130823,201308,2013,2013Q3,Friday
60,2013-08-25,20130825,201308,2013,2013Q3,Sunday
61,2013-09-07,20130907,201309,2013,2013Q3,Saturday
62,2013-09-11,20130911,201309,2013,2013Q3,Wednesday
63,2013-09-14,20130914,201309,2013,2013Q3,Saturday
64,2013-09-15,20130915,201309,2013,2013Q3,Sunday
65,2013-09-16,20130916,201309,2013,2013Q3,Monday
66,2013-09-19,20130919,201309,2013,2013Q3,Thursday
67,2013-09-20,20130920,201309,2013,2013Q3,Friday
68,2013-09-22,20130922,201309,2013,2013Q3,Sunday
69,2013-09-24,20130924,201309,2013,2013Q3,Tuesday
70,2013-09-27,20130927,201309,2013,2013Q3,Friday
