date_id,date,month,year,quarter,weekday
0,2013-01-01,2013-01,2013,2013-Q1,Tuesday
1,2013-01-07,2013-01,2013,2013-Q1,Monday
2,2013-01-19,2013-01,2013,2013-Q1,Saturday
3,2013-01-23,2013-01,2013,2013-Q1,Wednesday
4,2013-01-25,2013-01,2013,2013-Q1,Friday
5,2013-01-26,2013-01,2013,2013-Q1,Saturday
6,2013-02-02,2013-02,2013,2013-Q1,Saturday
7,2013-02-03,2013-02,2013,2013-Q1,Sunday
8,2013-02-09,2013-02,2013,2013-Q1,Saturday
9,2013-02-11,2013-02,2013,2013-Q1,Monday
10,2013-02-19,2013-02,2013,2013-Q1,Tuesday
11,2013-03-03,2013-03,2013,2013-Q1,Sunday
12,2013-03-04,2013-03,2013,2013-Q1,Monday
13,2013-03-07,2013-03,2013,2013-Q1,Thursday
14,2013-03-10,2013-03,2013,2013-Q1,Sunday
15,2013-03-11,2013-03,2013,2013-Q1,Monday
16,2013-03-13,2013-03,2013,2013-Q1,Wednesday
17,2013-03-21,2013-03,2013,2013-Q1,Thursday
18,2013-04-18,2013-04,2013,2013-Q2,Thursday
19,2013-04-21,2013-04,2013,2013-Q2,Sunday
20,2013-04-22,2013-04,2013,2013-Q2,Monday
21,2013-04-24,2013-04,2013,2013-Q2,Wednesday
22,2013-04-25,2013-04,2013,2013-Q2,Thursday
23,2013-04-28,2013-04,2013,2013-Q2,Sunday
24,2013-05-02,2013-05,2013,2013-Q2,Thursday
25,2013-05-04,2013-05,2013,2013-Q2,Saturday
26,2013-05-11,2013-05,2013,2013-Q2,Saturday
27,2013-05-12,2013-05,2013,2013-Q2,Sunday
28,2013-05-13,2013-05,2013,2013-Q2,Monday
29,2013-05-14,2013-05,2013,2013-Q2,Tuesday
30,2013-05-16,2013-05,2013,2013-Q2,Thursday
31,2013-05-18,2013-05,2013,2013-Q2,Saturday
32,2013-05-19,2013-05,2013,2013-Q2,Sunday
33,2013-05-23,2013-05,2013,2013-Q2,Thursday
34,2013-05-25,2013-05,2013,2013-Q2,Saturday
35,2013-06-07,2013-06,2013,2013-Q2,Friday
36,2013-06-10,2013-06,2013,2013-Q2,Monday
37,2013-06-15,2013-06,2013,2013-Q2,Saturday
38,2013-06-21,2013-06,2013,2013-Q2,Friday
39,2013-06-23,2013-06,2013,2013-Q2,Sunday
40,2013-06-27,2013-06,2013,2013-Q2,Thursday
41,2013-07-01,2013-07,2013,2013-Q3,Monday
42,2013-07-02,2013-07,2013,2013-Q3,Tuesday
43,2013-07-07,2013-07,2013,2013-Q3,Sunday
44,2013-07-12,2013-07,2013,2013-Q3,Friday
45,2013-07-13,2013-07,2013,2013-Q3,Saturday
46,2013-07-14,2013-07,2013,2013-Q3,Sunday
47,2013-07-20,2013-07,2013,2013-Q3,Saturday
48,2013-07-26,2013-07,2013,2013-Q3,Friday
49,2013-07-30,2013-07,2013,2013-Q3,Tuesday
50,2013-08-02,2013-08,2013,2013-Q3,Friday
51,2013-08-04,2013-08,2013,2013-Q3,Sunday
52,2013-08-05,2013-08,2013,2013-Q3,Monday
53,2013-08-06,2013-08,2013,2013-Q3,Tuesday
54,2013-08-09,2013-08,2013,2013-Q3,Friday
55,2013-08-14,2013-08,2013,2013-Q3,Wednesday
